Data Source;World Development Indicators;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;08/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;AND;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;7,86E+14;8,94E+14;1,13E+14;1,51E+14;1,87E+14;2,20E+14;2,27E+14;2,54E+14;3,08E+14;4,12E+14;4,46E+14;3,89E+14;3,76E+14;3,28E+14;3,30E+14;3,47E+14;4,82E+14;6,11E+14;7,21E+13;7,95E+13;1,03E+14;1,11E+14;1,21E+14;1,01E+14;1,02E+13;1,18E+13;1,22E+14;1,18E+13;1,21E+14;1,24E+14;1,43E+14;1,55E+13;1,76E+14;2,37E+14;2,90E+14;3,16E+14;3,46E+14;3,96E+14;4,10E+14;3,69E+14;3,45E+14;3,63E+14;3,19E+14;3,19E+14;3,27E+14;2,79E+13;2,90E+13;3,00E+14;3,22E+14;3,16E+14;2,89E+14;3,32E+14;3,38E+14;3,79E+14;4,04E+14;;
Arab World;ARB;GDP (current US$);NY.GDP.MKTP.CD;;2,00E+14;2,03E+14;2,24E+14;2,48E+14;2,68E+14;2,84E+14;3,06E+14;3,50E+13;3,86E+14;4,31E+14;4,99E+13;6,00E+14;7,91E+14;1,52E+14;1,68E+13;2,10E+14;2,42E+14;2,65E+14;3,58E+14;4,86E+14;4,95E+14;4,63E+14;4,37E+14;4,40E+14;4,33E+13;4,05E+14;4,31E+14;4,29E+14;4,57E+14;6,42E+14;4,68E+14;4,68E+14;4,79E+14;5,00E+14;5,28E+14;5,71E+14;6,15E+14;5,99E+14;6,65E+13;7,63E+14;7,45E+13;7,47E+14;8,30E+14;9,87E+14;1,21E+14;1,44E+14;1,67E+14;2,12E+14;1,83E+14;2,16E+14;2,57E+14;2,81E+14;2,88E+14;2,94E+14;2,58E+14;2,54E+14;2,61E+12;2,92E+14;2,97E+14;2,60E+13;3,09E+13;3,75E+14;3,62E+14;3,74E+14;;
United Arab Emirates;ARE;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;6,86E+14;9,40E+14;1,42E+13;4,23E+14;1,17E+14;1,47E+14;1,92E+14;2,49E+14;2,38E+14;3,12E+14;4,36E+14;4,93E+14;4,66E+14;4,28E+14;4,18E+13;4,06E+14;3,39E+14;3,64E+14;3,63E+14;4,15E+14;5,07E+14;5,16E+14;5,42E+13;5,56E+13;5,93E+13;6,57E+14;7,36E+14;7,88E+14;7,57E+14;8,44E+14;1,04E+14;1,03E+14;1,10E+14;1,24E+14;1,48E+14;1,81E+14;2,22E+14;2,58E+14;3,15E+14;2,54E+14;3,08E+13;3,69E+14;3,93E+14;4,10E+14;4,25E+14;3,82E+14;3,82E+13;4,03E+14;4,41E+14;4,34E+14;3,57E+14;4,22E+14;5,11E+13;5,23E+14;5,52E+14;;
Argentina;ARG;GDP (current US$);NY.GDP.MKTP.CD;1,59E+14;2,01E+14;1,83E+14;1,83E+14;2,56E+14;2,83E+14;2,86E+14;2,43E+14;2,64E+14;3,13E+14;3,16E+14;3,33E+14;3,47E+14;5,25E+14;7,24E+14;5,24E+14;5,12E+14;5,68E+14;8,90E+14;6,93E+14;7,70E+14;7,87E+14;8,43E+13;1,04E+14;1,17E+14;8,82E+14;1,06E+14;1,09E+14;1,27E+14;7,66E+13;1,41E+14;1,90E+14;2,29E+13;2,37E+14;2,57E+11;2,58E+11;2,72E+11;2,93E+11;2,99E+11;2,84E+11;2,84E+11;2,69E+11;9,77E+14;1,28E+14;1,65E+14;1,99E+14;2,33E+14;2,88E+14;3,62E+14;3,33E+14;4,24E+13;5,30E+14;5,46E+14;5,52E+14;5,26E+14;5,95E+14;5,58E+14;6,44E+14;5,25E+14;4,48E+14;3,86E+14;4,87E+14;6,34E+13;6,49E+14;6,38E+13;;
Armenia;ARM;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,26E+14;2,07E+14;1,27E+14;1,20E+14;1,32E+14;1,47E+14;1,60E+14;1,64E+14;1,89E+14;1,85E+14;1,91E+14;2,12E+14;2,38E+14;2,81E+14;3,58E+14;4,90E+14;6,38E+13;9,21E+14;1,17E+14;8,65E+13;9,26E+14;1,01E+14;1,06E+14;1,11E+14;1,16E+14;1,06E+13;1,05E+14;1,15E+14;1,25E+14;1,36E+14;1,26E+14;1,39E+14;1,95E+14;2,42E+14;2,60E+14;;
American Samoa;ASM;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;512000000;524000000;509000000;500000000;493000000;518000000;560000000;675000000;573000000;570000000;640000000;638000000;643000000;673000000;671000000;612000000;639000000;647000000;721000000;750000000;871000000;;;;
Antigua and Barbuda;ATG;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;7,75E+14;8,80E+14;1,10E+14;1,32E+14;1,49E+14;1,66E+14;1,85E+14;2,12E+14;2,46E+13;2,98E+14;3,47E+14;4,11E+14;4,55E+14;4,79E+14;5,04E+14;5,25E+14;5,66E+14;6,25E+14;6,16E+14;6,79E+14;7,34E+14;7,90E+14;8,36E+14;9,01E+14;8,78E+14;8,98E+14;948100000;1,03E+14;1,14E+13;1,30E+14;1,49E+14;1,56E+14;1,39E+14;1,30E+14;1,29E+14;1,36E+14;1,33E+13;1,38E+14;1,44E+14;1,49E+13;1,53E+14;1,66E+14;1,73E+14;1,41E+14;1,60E+14;1,87E+14;2,01E+14;2,21E+14;;
Australia;AUS;GDP (current US$);NY.GDP.MKTP.CD;1,86E+14;1,97E+14;2,00E+14;2,16E+13;2,38E+13;2,60E+14;2,73E+14;3,05E+13;3,28E+14;3,67E+14;4,14E+14;4,53E+14;5,21E+14;6,39E+14;8,91E+14;9,74E+14;1,05E+14;1,11E+14;1,19E+14;1,35E+14;1,50E+14;1,77E+14;1,94E+13;1,78E+14;1,94E+13;1,81E+14;1,83E+14;1,90E+14;2,36E+14;3,00E+13;3,12E+14;3,26E+14;3,26E+14;3,13E+12;3,23E+14;3,69E+14;4,02E+14;4,36E+14;4,00E+14;3,90E+14;4,17E+14;3,80E+14;3,96E+14;4,69E+14;6,16E+14;6,97E+14;7,50E+14;8,57E+14;1,06E+14;9,32E+14;1,15E+14;1,40E+13;1,55E+14;1,58E+14;1,47E+14;1,36E+13;1,21E+14;1,33E+14;1,43E+14;1,40E+14;1,33E+14;1,56E+14;1,70E+13;1,73E+13;1,76E+14;;
Austria;AUT;GDP (current US$);NY.GDP.MKTP.CD;6,62E+14;7,35E+14;7,79E+14;8,41E+14;9,21E+14;1,00E+13;1,09E+14;1,16E+14;1,25E+14;1,36E+14;1,53E+14;1,78E+14;2,20E+14;2,94E+14;3,51E+13;3,99E+14;4,28E+14;5,13E+13;6,18E+13;7,36E+14;8,17E+14;7,08E+14;7,10E+14;7,18E+14;6,77E+14;6,91E+13;9,86E+14;1,24E+14;1,33E+14;1,33E+13;1,66E+14;1,73E+14;1,94E+14;1,90E+14;2,03E+14;2,40E+14;2,36E+14;2,12E+14;2,17E+14;2,16E+14;1,96E+14;1,96E+13;2,13E+14;2,61E+14;2,99E+14;3,14E+14;3,34E+14;3,87E+14;4,29E+14;3,99E+14;3,90E+14;4,29E+14;4,07E+13;4,27E+14;4,39E+14;3,80E+14;3,94E+14;4,15E+14;4,53E+14;4,43E+14;4,34E+14;4,80E+14;4,73E+14;5,17E+14;5,35E+14;;
Azerbaijan;AZE;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,88E+14;5344000000;4,45E+14;1,57E+14;1,19E+14;2,42E+13;3,18E+14;3,96E+14;4,45E+13;4,58E+14;5,27E+14;5,71E+14;6,24E+14;7,28E+14;8,68E+14;1,32E+13;2,10E+14;3,30E+14;4,89E+14;4,43E+14;5,29E+14;6,60E+14;6,97E+14;7,42E+14;7,52E+14;5,31E+13;3,79E+14;4,09E+14;4,71E+14;4,82E+14;42693000000;5,48E+14;7,88E+14;7,24E+14;7,43E+14;;
Burundi;BDI;GDP (current US$);NY.GDP.MKTP.CD;195999990;202999992;213500006;232749998;260750008;1,59E+14;1,65E+14;1,78E+14;183200000;1,90E+14;2,43E+14;2,53E+14;2,47E+14;3,04E+14;3,45E+14;4,21E+14;4,48E+14;5,48E+14;6,10E+14;7,82E+14;9,20E+14;9,69E+14;1,01E+14;1,08E+14;9,87E+14;1,15E+14;1,20E+14;1,13E+14;1,08E+14;1,11E+14;1,13E+14;1,17E+13;1,08E+14;9,39E+14;9,25E+14;1,00E+14;8,69E+14;9,73E+14;8,94E+14;8,08E+14;8,70E+14;8,77E+14;8,25E+14;7,85E+14;9,15E+12;1,12E+14;1,27E+14;1,36E+14;1,61E+14;1,78E+12;2,03E+14;2,24E+14;2,33E+14;2,45E+14;2,71E+14;2,81E+14;2,62E+14;2,83E+14;2,91E+14;2,87E+14;3,23E+14;3,44E+13;4,04E+14;3,43E+14;3,08E+14;;
Belgium;BEL;GDP (current US$);NY.GDP.MKTP.CD;1,18E+14;1,26E+14;1,34E+14;1,44E+14;1,62E+14;1,76E+14;1,89E+14;2,03E+14;2,17E+14;2,40E+14;2,67E+14;2,98E+13;3,72E+14;4,77E+14;5,60E+14;6,57E+14;7,11E+14;8,28E+14;1,01E+14;1,16E+14;1,27E+14;1,05E+13;9,21E+14;8,72E+14;8,33E+14;8,63E+14;1,20E+14;1,49E+14;1,62E+14;1,64E+14;2,05E+14;2,11E+14;2,35E+14;2,25E+14;2,45E+14;2,88E+14;2,79E+14;2,53E+14;2,59E+14;2,58E+14;2,37E+14;2,37E+13;2,58E+14;3,18E+14;3,69E+14;3,86E+14;4,08E+14;4,71E+14;5,17E+14;4,85E+14;4,82E+14;5,27E+14;4,98E+14;5,24E+13;5,38E+14;4,61E+14;4,74E+14;5,01E+13;5,43E+14;5,37E+14;5,30E+14;5,99E+14;5,91E+14;6,51E+14;6,71E+14;;
