Code,Name,Year,GDP,emp,rnna,hc,infl,hd30,cdd,r20mm
MYS,Malaysia,1992,235208.984375,6.93309354782105,758292.875,2.30036807060242,4.778,29.348809523809564,-0.8252380952380944,-3.977857142857133
MYS,Malaysia,1993,258482.78125,7.1979284286499,846785.875,2.34917092323303,3.547,21.996279069767468,-0.3860465116279075,1.0746511627907085
MYS,Malaysia,1994,282294.3125,7.38139009475708,950351.5625,2.39900898933411,3.687,30.936363636363662,0.2727272727272716,2.190227272727281
MYS,Malaysia,1995,310041.25,7.6687126159668,1082474.25,2.4499044418335,3.468,26.338888888888903,-2.5733333333333324,9.601555555555567
MYS,Malaysia,1996,341053.75,7.90168571472168,1221952.75,2.4793438911438,3.479,25.036304347826132,2.352608695652174,9.462826086956532
MYS,Malaysia,1997,366028.28125,8.1280403137207,1371837.25,2.50913667678833,2.655,51.91361702127662,0.08255319148936202,-2.9485106382978614
MYS,Malaysia,1998,339090.6875,8.12622547149658,1412740.625,2.53928780555725,5.293,84.65208333333337,-0.2891666666666657,2.83291666666668
MYS,Malaysia,1999,359902.78125,8.3655309677124,1445193.125,2.56658840179443,2.731,26.754489795918403,-0.6732653061224472,7.805102040816337
MYS,Malaysia,2000,391786.09375,8.81299018859863,1511946.375,2.58731245994568,1.551,39.679400000000015,-0.7797999999999989,5.13900000000001
MYS,Malaysia,2001,393814.28125,8.87453079223633,1574704.125,2.61509108543396,1.427,44.37137254901961,0.5454901960784326,4.198235294117659
MYS,Malaysia,2002,415044.75,9.1381254196167,1636063.25,2.64316821098328,1.793,71.87807692307695,3.575000000000003,-4.392499999999988
MYS,Malaysia,2003,439069.65625,9.41619110107422,1701002.625,2.67154669761658,1.074,49.511886792452856,3.8675471698113224,0.870377358490579
MYS,Malaysia,2004,468853.625,9.55192375183106,1768553.625,2.70022964477539,1.42,53.14500000000001,4.4659259259259265,-1.1957407407407317
MYS,Malaysia,2005,493853.59375,9.58206844329834,1845415.875,2.72922086715698,3.039,61.70872727272729,2.4247272727272726,-1.7139999999999915
MYS,Malaysia,2006,521434.5625,9.87366771697998,1926295.375,2.75938773155212,3.621,47.626785714285745,-2.3985714285714277,2.976607142857155
MYS,Malaysia,2007,554278.625,10.1433639526367,2021489.75,2.78988838195801,2.027,36.9412280701755,-0.01649122807017455,10.56438596491229
MYS,Malaysia,2008,581060.0625,10.1788272857666,2114925.75,2.82072591781616,5.429,26.774310344827622,-0.9662068965517232,12.812241379310358
MYS,Malaysia,2009,572265.5625,10.3842296600342,2201213.75,2.85190463066101,0.597,57.28050847457632,0.640169491525425,4.475084745762722
MYS,Malaysia,2010,614755.375,11.215950012207,2307528,2.88342761993408,1.72,66.12583333333339,-2.040499999999998,7.5005000000000095
MYS,Malaysia,2011,647300,12.313549041748,2421476,2.90448880195618,3.174,36.291803278688576,-3.277049180327867,6.127540983606568
MYS,Malaysia,2012,682729.6875,12.5110750198364,2576247,2.92570376396179,1.664,46.33645161290329,0.13580645161290406,7.578709677419368
MYS,Malaysia,2013,714775.125,13.2360506057739,2746272.5,2.94707369804382,2.105,48.870952380952446,-0.7263492063492061,7.898412698412709
MYS,Malaysia,2014,757709.6875,13.6337747573853,2923039.5,2.96859955787659,3.143,53.37734375000005,4.325000000000001,2.4050000000000153
MYS,Malaysia,2015,796288.5625,14.0659990310669,3104790.25,2.99028301239014,2.104394,65.64615384615391,1.62846153846154,0.5980000000000132
MYS,Malaysia,2016,831721.5,14.1628017425537,3288805.75,3.01212477684021,2.075793,90.10151515151524,-0.13621212121211812,0.7089393939394064
MYS,Malaysia,2017,880067.4375,14.4767990112305,3486282.5,3.03412580490112,3.799,57.996716417910505,-2.2441791044776087,9.238358208955232
MYS,Malaysia,2018,922689.6875,14.7758989334106,3681222,3.05628776550293,0.97,70.60382352941181,-1.0311764705882327,3.5525000000000126
MYS,Malaysia,2019,963409.9375,15.073296546936,3861843,3.07861137390137,0.663,90.990579710145,0.583768115942032,-1.8689855072463644
MYS,Malaysia,2020,910838.0625,14.9566974639893,3979777.75,3.10109806060791,-1.138702,69.84071428571437,-1.7245714285714264,9.4177142857143
MYS,Malaysia,2021,940874.625,15.064094543457,4084713.5,3.13224864006043,2.477103,49.28704225352121,1.149718309859157,10.215070422535224
MYS,Malaysia,2022,1022263.1875,15.3916921615601,4200586.5,3.16371178627014,3.378699,43.07250000000008,-1.7862499999999972,13.683194444444457
MYS,Malaysia,2023,1059885.5,15.5549440383911,4323859.5,3.20573282241821,2.795644,74.72246575342473,-1.9317808219178063,9.225753424657544
NGA,Nigeria,1960,154294.375,15.8104085922241,866532.4375,1.15172266960144,5.444327,25.39500000000001,5.200000000000003,-1.1209999999999996
NGA,Nigeria,1961,147866.953125,16.2026195526123,939486.375,1.15172493457794,6.279147,11.586363636363645,2.6572727272727263,-0.9690909090909088
NGA,Nigeria,1962,153470.953125,16.5991096496582,1005719.625,1.15172731876373,5.265632,6.390833333333347,-0.9141666666666596,-1.1383333333333328
NGA,Nigeria,1963,166772.921875,17.3844985961914,1079838,1.15172958374023,-2.694655,33.50923076923081,8.886153846153846,-2.4107692307692288
NGA,Nigeria,1964,172167.125,18.1794738769531,1169818.375,1.15173184871674,0.8567932,26.735714285714323,23.82142857142857,-3.8385714285714263
NGA,Nigeria,1965,164103.984375,19.1183891296387,1300463.5,1.15173423290253,4.103459,31.79333333333335,5.123333333333349,-3.202666666666665
NGA,Nigeria,1966,155751,19.5341548919678,1417429.5,1.15173649787903,9.690346,34.16625000000002,5.153125000000003,-3.1624999999999983
NGA,Nigeria,1967,131262.90625,18.8917503356934,1506524.125,1.15173888206482,-3.726337,2.1764705882352757,0.2600000000000193,0.6935294117647075
NGA,Nigeria,1968,132145.96875,19.1279411315918,1577272.375,1.15174114704132,-0.476059,12.25555555555556,-8.58444444444443,0.6250000000000018
NGA,Nigeria,1969,155561.671875,20.1353778839111,1663256.5,1.15174353122711,10.15598,10.510526315789464,-10.842631578947362,0.8921052631578963
NGA,Nigeria,1970,186429.9375,21.3434581756592,1862658.625,1.15174579620361,13.7571,17.714999999999975,-6.150499999999994,-0.05249999999999844
NGA,Nigeria,1971,212972.953125,21.2840137481689,2076454.625,1.15585267543793,0,10.44142857142856,-9.767619047619036,0.4500000000000019
NGA,Nigeria,1972,228275,21.4417152404785,2310878.75,1.15997421741486,0,25.706818181818164,-13.713636363636354,-0.6404545454545438
NGA,Nigeria,1973,242215.828125,21.7847023010254,2588942.25,1.1641104221344,1.666665,32.97913043478263,0.9826086956521892,1.3173913043478267
NGA,Nigeria,1974,268388.375,21.8221454620361,2794183.75,1.16826140880585,0,-17.81499999999997,-1.0083333333333258,2.192500000000001
NGA,Nigeria,1975,270260.21875,22.8033561706543,3088764.25,1.1724271774292,88.52459,-17.86239999999998,-8.437999999999988,1.594800000000001
NGA,Nigeria,1976,289457.3125,23.7811660766602,3527657.25,1.17660772800446,47.39131,-7.905384615384577,-16.173461538461538,-1.45653846153846
NGA,Nigeria,1977,313391.6875,24.6917304992676,4045459,1.1808032989502,5.604725,11.65740740740742,3.495555555555569,-1.5225925925925914
NGA,Nigeria,1978,304307.125,24.5193824768066,4534534,1.18501377105713,28.21228,3.641071428571479,-13.88928571428572,0.661785714285716
NGA,Nigeria,1979,295919.28125,24.5880584716797,4932056.5,1.18923926353455,4.575167,13.635517241379349,-9.14034482758622,1.7089655172413805
NGA,Nigeria,1980,302479.4375,26.0585994720459,5352926.5,1.19347989559174,12.29166,11.43100000000004,-1.3456666666666592,2.9520000000000017
