Code,Name,Year,GDP,emp,cn,USDfx,hd30,cdd,r20mm,media_hd30,classe_clima
ESP,Spain,1952,197923.484375,11.7046089172363,401238,0.2383013,-5.233333333333331,-0.3599999999999852,-0.26000000000000023,37.2664,Mite
ESP,Spain,1953,191013.515625,11.7787504196167,416469.15625,0.2383013,5.930000000000007,19.897500000000036,-0.5025,37.2664,Mite
ESP,Spain,1954,217391.09375,11.8659267425537,438947.40625,0.2340942,-0.4159999999999968,22.198000000000036,-0.5700000000000007,37.2664,Mite
ESP,Spain,1955,230505.6875,12.0185203552246,463112,0.2340942,-2.5216666666666683,-7.601666666666631,0.4833333333333325,37.2664,Mite
ESP,Spain,1956,248329.109375,12.2020425796509,493200,0.2340942,-9.901428571428568,6.7785714285714675,0.2857142857142856,37.2664,Mite
ESP,Spain,1957,259268.046875,12.3832120895386,520171.6875,0.248228,-4.98875,-9.18874999999997,-0.16125000000000034,37.2664,Mite
ESP,Spain,1958,270580.90625,12.6167993545532,551829.75,0.25242,-7.625555555555554,-0.8255555555554963,1.074444444444444,37.2664,Mite
ESP,Spain,1959,263226.59375,12.4666223526001,571120.3125,0.306514,-8.212999999999997,-32.323999999999955,1.1559999999999997,37.2664,Mite
ESP,Spain,1960,293869.1875,12.3279142379761,595812.6875,0.360607,-4.357272727272722,-20.21272727272725,2.7690909090909095,37.2664,Mite
ESP,Spain,1961,331634.75,12.534966468811,631995.125,0.360607,0.05750000000000099,12.216666666666695,0.6683333333333339,37.2664,Mite
ESP,Spain,1962,367128.21875,12.6138048171997,680663.1875,0.359901,8.637692307692312,3.495384615384637,0.37692307692307647,37.2664,Mite
ESP,Spain,1963,403985.75,12.6978893280029,734074.125,0.359838,-6.502142857142854,-2.5671428571428123,1.6871428571428568,37.2664,Mite
ESP,Spain,1964,425763.84375,12.7648706436157,791818.375,0.359779,7.455333333333339,8.981333333333367,-0.833333333333333,37.2664,Mite
ESP,Spain,1965,456325.46875,12.8620481491089,858566.875,0.359948,0.2581250000000068,2.1106250000000557,0.7468750000000002,37.2664,Mite
