Code,Name,Year,hd30_ssp245,cdd_ssp245,r20mm_ssp245,hd30_ssp370,cdd_ssp370,r20mm_ssp370
DZA,Algeria,2024,5.312000000000012,-2.9909999999999854,0.015000000000000013,1.0939999999999657,-0.03999999999999204,0.015000000000000013
ARG,Argentina,2024,2.5289999999999964,1.256999999999998,-0.17400000000000215,2.609000000000009,1.7520000000000024,-0.4759999999999991
AUS,Australia,2024,4.290999999999997,-0.49099999999998545,-0.08000000000000052,0.40200000000001523,-3.888999999999996,-0.050000000000000266
BGD,Bangladesh,2024,7.543000000000006,0.42900000000000205,0.0730000000000075,-1.9099999999999682,3.5500000000000043,4.606000000000002
BRA,Brazil,2024,12.73999999999998,1.0279999999999987,0.5470000000000006,-6.083999999999975,1.3019999999999996,0.3420000000000005
KHM,Cambodia,2024,4.3780000000001,-1.0799999999999983,-0.24600000000000044,-0.36099999999999,1.6300000000000026,0.09500000000000064
CAN,Canada,2024,0.2250000000000001,-0.8319999999999972,0.09200000000000053,0.367,-0.7570000000000014,0.1629999999999998
CHN,China,2024,1.8539999999999992,1.5949999999999989,0.37899999999999867,1.7959999999999994,1.105000000000004,-0.14400000000000102
COL,Colombia,2024,19.682999999999993,-0.3730000000000011,0.1180000000000021,0.8299999999999841,-0.2740000000000009,0.027000000000001023
ECU,Ecuador,2024,12.181999999999995,-0.11800000000000033,1.0969999999999978,0.546999999999997,1.221,-0.9310000000000009
EGY,Arab Republic of Egypt,2024,4.824000000000012,2.7320000000000277,-0.01,0.5069999999999766,2.9869999999999663,-0.007000000000000001
ETH,Ethiopia,2024,6.02800000000002,-0.8920000000000101,0.04100000000000037,3.248000000000019,-1.051000000000009,-0.1819999999999995
FRA,France,2024,1.7070000000000007,-0.07600000000000051,0.041999999999999815,2.676000000000002,0.6099999999999994,0.09600000000000009
DEU,Germany,2024,0.8069999999999995,0.6580000000000013,0.16999999999999993,0.835,1.6379999999999963,0.2529999999999999
IND,India,2024,1.850999999999999,1.5820000000000078,0.2010000000000005,-0.7249999999999659,-0.39700000000000557,2.041999999999998
IDN,Indonesia,2024,9.652000000000015,0.6000000000000014,0.8130000000000024,4.848000000000013,-0.8610000000000015,0.08399999999999963
IRN,Islamic Republic of Iran,2024,2.923000000000002,3.8909999999999627,-0.20699999999999985,2.7990000000000066,6.213000000000022,-0.1649999999999996
ITA,Italy,2024,3.1389999999999993,-0.1460000000000008,0.46199999999999886,3.004999999999999,0.593,0.08900000000000041
JPN,Japan,2024,0.7799999999999976,0.504999999999999,-1.2539999999999978,4.206000000000003,0.28499999999999837,-0.4129999999999967
KEN,Kenya,2024,6.834000000000032,0.6960000000000122,0.17899999999999983,2.7730000000000246,-1.1769999999999996,0.44499999999999984
KOR,Republic of Korea,2024,1.1860000000000035,0.31299999999999883,0.3760000000000012,3.992000000000001,-0.6230000000000011,-0.2539999999999978
MYS,Malaysia,2024,10.949999999999989,0.055000000000000604,1.6359999999999992,7.272999999999968,-0.274,1.2520000000000024
MEX,Mexico,2024,5.4739999999999895,2.485999999999997,0.24299999999999944,1.0600000000000023,3.032999999999994,-0.16000000000000014
MAR,Morocco,2024,2.9239999999999924,-4.196000000000012,-0.04999999999999982,3.2449999999999903,-2.178999999999988,-0.20699999999999985
NGA,Nigeria,2024,8.576000000000022,-1.7210000000000036,0.4200000000000008,0.14800000000002456,-0.38800000000000523,0.20900000000000052
PAK,Pakistan,2024,3.087999999999994,-1.3020000000000067,0.2330000000000001,1.1900000000000261,3.538000000000011,-0.0030000000000001137
PER,Peru,2024,12.579999999999984,1.7610000000000028,-0.08699999999999974,-1.2800000000000011,1.7650000000000006,-0.552999999999999
PHL,Philippines,2024,11.222999999999985,-0.07800000000000118,0.49500000000000455,6.848000000000013,-1.2260000000000009,0.28200000000000003
RUS,Russian Federation,2024,0.008999999999999453,0.28700000000000614,0.129,-0.0030000000000001137,0.3289999999999971,0.04899999999999993
SAU,Saudi Arabia,2024,3.037000000000006,7.67999999999995,0.035,2.668000000000035,3.47799999999998,-0.0069999999999999785
SEN,Senegal,2024,4.523999999999944,-3.186000000000007,0.3869999999999991,-0.20199999999999818,2.2920000000000016,0.3580000000000001
ZAF,South Africa,2024,4.759999999999991,4.758999999999993,0.08599999999999985,-0.4960000000000093,-1.7259999999999849,0.33999999999999986
ESP,Spain,2024,2.218999999999994,-2.3030000000000044,0.7249999999999996,5.037000000000006,3.411999999999992,-0.0819999999999994
SWE,Sweden,2024,-0.004,0.5660000000000025,-0.04600000000000004,-0.001,-1.2479999999999958,-0.08000000000000007
THA,Thailand,2024,2.549000000000035,-1.5420000000000016,-0.17400000000000126,0.43300000000004957,-0.14000000000000057,0.9510000000000005
TUR,Türkiye,2024,4.747,3.0890000000000057,0.040999999999999925,5.4979999999999905,1.7760000000000034,-0.006999999999999673
GBR,United Kingdom,2024,0.008000000000000007,0.5529999999999973,0.3769999999999998,9.99999999999987e-4,-0.359,0.04400000000000004
ARE,United Arab Emirates,2024,2.2460000000000093,8.072000000000003,-0.05600000000000001,6.345000000000027,3.147999999999996,-0.04000000000000002
USA,United States of America,2024,2.851000000000006,-0.3999999999999986,0.05599999999999916,3.7830000000000013,0.42199999999999704,-0.2030000000000003
VEN,R. B. de Venezuela,2024,17.352000000000004,0.8780000000000001,0.7309999999999981,0.7800000000000011,-1.5610000000000035,1.2740000000000027
VNM,Vietnam,2024,7.8659999999999854,0.5899999999999999,-1.279,2.4230000000000302,-1.2199999999999989,0.8000000000000007
DZA,Algeria,2025,1.7927272727272907,-0.8918181818181949,0.03181818181818183,3.74909090909091,8.79090909090911,-0.04090909090909092
ARG,Argentina,2025,3.126363636363628,2.306363636363635,0.05999999999999783,2.6081818181818264,0.3563636363636391,-0.19636363636363452
AUS,Australia,2025,1.8918181818181665,3.871818181818199,0.05454545454545423,2.9018181818182427,4.573636363636382,0.38181818181818183
BGD,Bangladesh,2025,4.902727272727276,-0.4736363636363663,1.6481818181818255,4.509090909090958,4.9181818181818215,-1.321818181818184
